pos[ 0.30,  0.00,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 1.00,  0.00,  0.00] |
pos[ 0.26, -0.15,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.87, -0.50,  0.00] |
pos[ 0.15, -0.26,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.50, -0.87,  0.00] |
pos[-0.00, -0.30,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.00, -1.00,  0.00] |
pos[-0.15, -0.26,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.50, -0.87,  0.00] |
pos[-0.26, -0.15,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.87, -0.50,  0.00] |
pos[-0.30,  0.00,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-1.00,  0.00,  0.00] |
pos[-0.26,  0.15,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.87,  0.50,  0.00] |
pos[-0.15,  0.26,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.50,  0.87,  0.00] |
pos[ 0.00,  0.30,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.00,  1.00,  0.00] |
pos[ 0.15,  0.26,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.50,  0.87,  0.00] |
pos[ 0.26,  0.15,  0.00] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.87,  0.50,  0.00] |
pos[ 0.30,  0.00,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.71,  0.00,  0.71] |
pos[ 0.26, -0.15,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.61, -0.35,  0.71] |
pos[ 0.15, -0.26,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.35, -0.61,  0.71] |
pos[-0.00, -0.30,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.00, -0.71,  0.71] |
pos[-0.15, -0.26,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.35, -0.61,  0.71] |
pos[-0.26, -0.15,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.61, -0.35,  0.71] |
pos[-0.30,  0.00,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.71,  0.00,  0.71] |
pos[-0.26,  0.15,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.61,  0.35,  0.71] |
pos[-0.15,  0.26,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.35,  0.61,  0.71] |
pos[ 0.00,  0.30,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.00,  0.71,  0.71] |
pos[ 0.15,  0.26,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.35,  0.61,  0.71] |
pos[ 0.26,  0.15,  0.30] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.61,  0.35,  0.71] |
pos[ 0.30,  0.00,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.45,  0.00,  0.89] |
pos[ 0.26, -0.15,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.39, -0.22,  0.89] |
pos[ 0.15, -0.26,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.22, -0.39,  0.89] |
pos[-0.00, -0.30,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.00, -0.45,  0.89] |
pos[-0.15, -0.26,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.22, -0.39,  0.89] |
pos[-0.26, -0.15,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.39, -0.22,  0.89] |
pos[-0.30,  0.00,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.45,  0.00,  0.89] |
pos[-0.26,  0.15,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.39,  0.22,  0.89] |
pos[-0.15,  0.26,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.22,  0.39,  0.89] |
pos[ 0.00,  0.30,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.00,  0.45,  0.89] |
pos[ 0.15,  0.26,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.22,  0.39,  0.89] |
pos[ 0.26,  0.15,  0.60] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.39,  0.22,  0.89] |
pos[ 0.30,  0.00,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.32,  0.00,  0.95] |
pos[ 0.26, -0.15,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.27, -0.16,  0.95] |
pos[ 0.15, -0.26,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.16, -0.27,  0.95] |
pos[-0.00, -0.30,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.00, -0.32,  0.95] |
pos[-0.15, -0.26,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.16, -0.27,  0.95] |
pos[-0.26, -0.15,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.27, -0.16,  0.95] |
pos[-0.30,  0.00,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.32,  0.00,  0.95] |
pos[-0.26,  0.15,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.27,  0.16,  0.95] |
pos[-0.15,  0.26,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[-0.16,  0.27,  0.95] |
pos[ 0.00,  0.30,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.00,  0.32,  0.95] |
pos[ 0.15,  0.26,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.16,  0.27,  0.95] |
pos[ 0.26,  0.15,  0.90] | col[ 1.00,  0.00,  0.00] | tex[ 1.00,  1.00] | nom[ 0.27,  0.16,  0.95] |
